O*NET-SOC Code,Task ID,Scale ID,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
11-1011.00,8823,IM,,4.52,75.0,0.1055,4.3146,4.735,N,08/2023,Incumbent
11-1011.00,8824,IM,,4.32,83.0,0.1071,4.1057,4.5318,N,08/2023,Incumbent
11-1011.00,8827,IM,,4.3,87.0,0.1527,3.9916,4.5985,N,08/2023,Incumbent
11-1011.00,8826,IM,,4.24,91.0,0.1424,3.9608,4.5266,N,08/2023,Incumbent
11-1011.00,8834,IM,,4.17,88.0,0.195,3.7827,4.5578,N,08/2023,Incumbent
11-1011.00,8836,IM,,4.14,86.0,0.1284,3.8832,4.3937,N,08/2023,Incumbent
11-1011.00,8825,IM,,4.13,91.0,0.1505,3.8353,4.4332,N,08/2023,Incumbent
11-1011.00,8828,IM,,4.13,73.0,0.1786,3.7774,4.4893,N,08/2023,Incumbent
11-1011.00,8832,IM,,4.13,66.0,0.1854,3.7629,4.5035,N,08/2023,Incumbent
11-1011.00,8831,IM,,4.09,84.0,0.1489,3.7906,4.3828,N,08/2023,Incumbent
11-1011.00,8843,IM,,4.09,88.0,0.1555,3.7763,4.3945,N,08/2023,Incumbent
11-1011.00,8830,IM,,4.07,91.0,0.1205,3.8261,4.3049,N,08/2023,Incumbent
11-1011.00,8829,IM,,4.06,80.0,0.1592,3.7447,4.3786,N,08/2023,Incumbent
11-1011.00,8835,IM,,3.98,86.0,0.1294,3.7208,4.2352,N,08/2023,Incumbent
11-1011.00,8839,IM,,3.94,87.0,0.1619,3.6207,4.2643,N,08/2023,Incumbent
11-1011.00,8840,IM,,3.92,71.0,0.1246,3.6712,4.1683,N,08/2023,Incumbent
11-1011.00,8837,IM,,3.8,71.0,0.1685,3.4607,4.1326,N,08/2023,Incumbent
11-1011.00,8833,IM,,3.79,63.0,0.1763,3.434,4.139,N,08/2023,Incumbent
11-1011.00,8849,IM,,3.59,64.0,0.2084,3.1786,4.0114,N,08/2023,Incumbent
11-1011.00,8850,IM,,3.55,71.0,0.1332,3.2887,3.8199,N,08/2023,Incumbent
11-1011.00,8842,IM,,4.07,21.0,0.3621,3.3099,4.8204,N,08/2023,Incumbent
11-1011.00,8851,IM,,3.98,52.0,0.1559,3.6622,4.2882,N,08/2023,Incumbent
11-1011.00,8847,IM,,3.9,26.0,0.2359,3.4184,4.3903,N,08/2023,Incumbent
11-1011.00,8853,IM,,3.88,44.0,0.2471,3.379,4.3755,N,08/2023,Incumbent
11-1011.00,8844,IM,,3.81,39.0,0.261,3.2854,4.3422,N,08/2023,Incumbent
11-1011.00,20461,IM,,3.81,56.0,0.1732,3.4663,4.1603,N,08/2023,Incumbent
11-1011.00,8838,IM,,3.78,55.0,0.2108,3.3594,4.2047,N,08/2023,Incumbent
11-1011.00,8845,IM,,3.7,52.0,0.2178,3.2618,4.1362,N,08/2023,Incumbent
11-1011.00,8848,IM,,3.66,64.0,0.1999,3.2614,4.0604,N,08/2023,Incumbent
11-1011.00,8846,IM,,3.51,58.0,0.2058,3.1012,3.9253,N,08/2023,Incumbent
11-1011.00,8852,IM,,3.42,60.0,0.2433,2.9353,3.9089,N,08/2023,Incumbent
11-1011.03,15382,IM,,4.38,26.0,,,,,08/2021,Occupational Expert
11-1011.03,15384,IM,,4.37,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15379,IM,,4.33,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15372,IM,,4.22,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15378,IM,,4.04,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15380,IM,,3.93,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15368,IM,,3.88,26.0,,,,,08/2021,Occupational Expert
11-1011.03,15370,IM,,3.85,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15375,IM,,3.74,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15376,IM,,3.74,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15383,IM,,3.65,23.0,,,,,08/2021,Occupational Expert
11-1011.03,15377,IM,,3.52,25.0,,,,,08/2021,Occupational Expert
11-1011.03,15381,IM,,3.52,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15374,IM,,3.48,25.0,,,,,08/2021,Occupational Expert
11-1011.03,15373,IM,,3.33,24.0,,,,,08/2021,Occupational Expert
11-1011.03,15371,IM,,3.33,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15367,IM,,3.19,27.0,,,,,08/2021,Occupational Expert
11-1011.03,15369,IM,,3.13,23.0,,,,,08/2021,Occupational Expert
11-1021.00,20699,IM,,4.18,76.0,0.1624,3.8551,4.5023,N,08/2023,Incumbent
11-1021.00,933,IM,,4.14,64.0,0.1212,3.8946,4.3789,N,08/2023,Incumbent
11-1021.00,20700,IM,,4.01,67.0,0.1078,3.7969,4.2272,N,08/2023,Incumbent
11-1021.00,20701,IM,,3.98,66.0,0.1004,3.7761,4.1771,N,08/2023,Incumbent
11-1021.00,20703,IM,,3.9,61.0,0.1204,3.6579,4.1397,N,08/2023,Incumbent
11-1021.00,20706,IM,,3.83,63.0,0.1701,3.4875,4.1677,N,08/2023,Incumbent
11-1021.00,20705,IM,,3.79,75.0,0.1243,3.5408,4.036,N,08/2023,Incumbent
11-1021.00,20704,IM,,3.74,70.0,0.1244,3.4922,3.9885,N,08/2023,Incumbent
11-1021.00,20702,IM,,3.44,66.0,0.1555,3.1315,3.7527,N,08/2023,Incumbent
11-1021.00,20708,IM,,4.03,39.0,0.147,3.7344,4.3294,N,08/2023,Incumbent
11-1021.00,20707,IM,,4.01,33.0,0.1662,3.6743,4.3515,N,08/2023,Incumbent
11-1021.00,944,IM,,3.87,43.0,0.2523,3.3602,4.3784,N,08/2023,Incumbent
11-1021.00,945,IM,,3.57,31.0,0.231,3.0941,4.0377,N,08/2023,Incumbent
11-1021.00,947,IM,,3.53,41.0,0.2438,3.0371,4.0227,N,08/2023,Incumbent
11-1021.00,19501,IM,,3.1,43.0,0.2337,2.6298,3.5732,N,08/2023,Incumbent
11-1021.00,949,IM,,2.92,35.0,0.1902,2.5382,3.3112,N,08/2023,Incumbent
11-1021.00,948,IM,,2.79,36.0,0.1959,2.3965,3.1919,N,08/2023,Incumbent
11-2011.00,3224,IM,,4.13,66.0,0.1181,3.89,4.3616,N,08/2018,Incumbent
11-2011.00,3226,IM,,4.07,60.0,0.135,3.8005,4.3407,N,08/2018,Incumbent
11-2011.00,3231,IM,,3.9,69.0,0.1128,3.67,4.1203,N,08/2018,Incumbent
11-2011.00,3242,IM,,3.87,54.0,0.1347,3.5962,4.1366,N,08/2018,Incumbent
11-2011.00,3227,IM,,3.84,53.0,0.1367,3.5663,4.1148,N,08/2018,Incumbent
11-2011.00,3238,IM,,3.81,53.0,0.1282,3.5557,4.0701,N,08/2018,Incumbent
11-2011.00,3237,IM,,3.81,59.0,0.1211,3.5697,4.0545,N,08/2018,Incumbent
11-2011.00,3223,IM,,3.67,55.0,0.1218,3.424,3.9124,N,08/2018,Incumbent
11-2011.00,3243,IM,,3.61,57.0,0.1404,3.3279,3.8902,N,08/2018,Incumbent
11-2011.00,3233,IM,,3.59,54.0,0.107,3.3745,3.8035,N,08/2018,Incumbent
11-2011.00,3229,IM,,3.55,56.0,0.1297,3.2881,3.8079,N,08/2018,Incumbent
