Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
1 - Oilseed farming,0.0,72.4,693.5,765.9,0.0,73.85,685.32,759.16,-6.740000000000009,-0.8800104452278378,0.0,37127558.94,355648295.36,392775854.29,0.0,37871819.16,351451254.36,389323073.52,-3452780.7700000405,-0.879071544823306
10 - All other crop farming,0.0,673.24,3620.62,4293.86,0.0,686.74,3577.9,4264.64,-29.219999999999345,-0.6805065838196716,0.0,40583798.91,218255343.79,258839142.69,0.0,41397343.02,215680344.77,257077687.8,-1761454.8899999857,-0.6805210648180832
100 - Manufactured ice,0.0,0.95,108.43,109.38,0.0,0.97,107.14,108.11,-1.269999999999996,-1.1610897787529677,0.0,182251.68,20741542.64,20923794.32,0.0,185905.1,20494335.74,20680240.84,-243553.48000000045,-1.1640024570839906
101 - Breweries,0.0,36.19,1578.12,1614.31,0.0,36.91,1559.37,1596.29,-18.019999999999982,-1.1162663924525018,0.0,11934928.31,520459005.18,532393933.49,0.0,12174176.26,514275625.19,526449801.46,-5944132.030000031,-1.1164913151873246
102 - Wineries,0.0,81.77,1171.58,1253.34,0.0,83.4,1158.2,1241.6,-11.740000000000009,-0.9366971452279518,0.0,28533792.18,408844417.54,437378209.72,0.0,29105781.48,404176884.44,433282665.92,-4095543.800000012,-0.9363849659135716
103 - Distilleries,0.0,16.82,387.04,403.86,0.0,17.16,382.49,399.65,-4.210000000000036,-1.0424404496607824,0.0,14436317.03,332154328.53,346590645.56,0.0,14725707.9,328252365.24,342978073.14,-3612572.4200000167,-1.0423167694451312
104 - Tobacco manufacturing,0.0,0.01,133.45,133.46,0.0,0.01,131.81,131.82,-1.6400000000000148,-1.2288326090214405,0.0,29481.65,620654781.92,620684263.57,0.0,30072.64,613021631.18,613051703.82,-7632559.75,-1.229700863704789
"105 - Fiber, yarn, and thread mills",0.0,41.11,124.69,165.8,0.0,41.93,123.25,165.18,-0.6200000000000045,-0.37394451145959257,0.0,15490699.29,46989460.15,62480159.44,0.0,15801226.33,46446664.28,62247890.61,-232268.8299999982,-0.3717481390601238
106 - Broadwoven fabric mills,0.0,23.86,160.3,184.15,0.0,24.34,158.44,182.78,-1.3700000000000045,-0.7439587292967713,0.0,7362249.8,49466242.04,56828491.84,0.0,7509833.69,48895027.87,56404861.56,-423630.2800000012,-0.7454540254081132
107 - Narrow fabric mills and schiffli machine embroidery,0.0,4.11,28.34,32.45,0.0,4.19,28.01,32.2,-0.25,-0.7704160246533127,0.0,917917.22,6335091.0,7253008.22,0.0,936317.82,6261387.47,7197705.29,-55302.9299999997,-0.7624826599189999
108 - Nonwoven fabric mills,0.0,32.45,107.02,139.47,0.0,33.1,105.77,138.87,-0.5999999999999943,-0.43020004302000026,0.0,16609662.95,54781348.85,71391011.79,0.0,16942620.78,54143250.92,71085871.7,-305140.0900000036,-0.42742087883218044
109 - Knit fabric mills,0.0,4.19,29.55,33.73,0.0,4.27,29.2,33.48,-0.25,-0.7411799584939224,0.0,1128577.56,7962462.05,9091039.61,0.0,1151201.06,7870177.6,9021378.66,-69660.94999999925,-0.7662594487364605
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,111.08,7680.42,7791.5,0.0,113.31,7589.26,7702.57,-88.93000000000029,-1.141372007957393,0.0,19678665.48,1360626111.4,1380304776.88,0.0,20073144.63,1344476553.92,1364549698.55,-15755078.330000162,-1.1414202568806922
110 - Textile and fabric finishing mills,0.0,29.2,134.78,163.98,0.0,29.79,133.21,163.0,-0.9799999999999898,-0.5976338577875289,0.0,9528155.54,43972700.84,53500856.38,0.0,9719157.25,43462547.57,53181704.82,-319151.5600000024,-0.5965354231587767
111 - Fabric coating mills,0.0,12.85,38.07,50.92,0.0,13.11,37.63,50.74,-0.17999999999999972,-0.35349567949725,0.0,5869617.23,17389994.75,23259611.98,0.0,5987279.76,17189321.73,23176601.5,-83010.48000000045,-0.35688677898572774
112 - Carpet and rug mills,0.0,2.79,132.8,135.59,0.0,2.84,131.31,134.15,-1.4399999999999977,-1.0620252230990468,0.0,1116553.27,53211189.54,54327742.81,0.0,1138935.73,52614580.26,53753515.99,-574226.8200000003,-1.056967932586928
113 - Curtain and linen mills,0.0,3.82,181.24,185.06,0.0,3.89,179.15,183.04,-2.0200000000000102,-1.0915378796066195,0.0,788983.36,37448361.48,38237344.83,0.0,804799.34,37016669.45,37821468.79,-415876.0399999991,-1.0876174636312976
114 - Textile bag and canvas mills,0.0,104.5,247.05,351.55,0.0,106.6,244.2,350.8,-0.75,-0.21334091878822356,0.0,21725068.72,51358678.13,73083746.85,0.0,22160570.14,50766175.38,72926745.52,-157001.3299999982,-0.21482386545155382
"115 - Rope, cordage, twine, tire cord and tire fabric mills",0.0,52.17,54.41,106.58,0.0,53.22,53.79,107.0,0.4200000000000017,0.39407018202289523,0.0,16298747.04,16998912.16,33297659.2,0.0,16625472.24,16803886.91,33429359.16,131699.9600000009,0.39552317839808054
116 - Other textile product mills,0.0,215.15,255.47,470.62,0.0,219.46,252.5,471.96,1.339999999999975,0.2847307806722993,0.0,39246043.06,46602123.97,85848167.02,0.0,40032770.48,46060600.25,86093370.73,245203.71000000834,0.2856248636536216
117 - Apparel knitting mills,0.0,2.74,120.14,122.88,0.0,2.79,118.74,121.54,-1.3399999999999892,-1.0904947916666579,0.0,335200.33,14699435.18,15034635.51,0.0,341919.77,14528274.32,14870194.09,-164441.41999999993,-1.0937506259504919
