Sector,NRC-A,NRC-I,NRM,RC,RM,TOTAL
Transportation & Logistics,0,0,0,38,3631887,3631925
Professional & Business Services,304959,0,0,274002,0,578961
Healthcare & Social Assistance,0,353078,0,1852,0,354930
Retail Trade,0,0,0,328029,0,328029
Finance & Insurance,0,0,0,277094,0,277094
Hospitality & Food Service,0,0,223371,0,0,223371
Personal Services & Repair,0,0,205852,10525,0,216377
Real Estate,0,167164,0,12447,0,179611
Wholesale Trade,0,0,0,100576,0,100576
Government & Non-profit,0,96683,0,0,0,96683
Manufacturing — Food & Beverage,0,0,0,2794,79933,82727
Manufacturing — Metals & Machinery,23,0,0,14184,64497,78704
Education,0,62117,0,15349,0,77466
Manufacturing — Vehicles & Other Durable,0,0,0,38203,28861,67064
"Arts, Entertainment & Recreation",0,0,52533,14426,0,66959
Information & Technology,55045,0,0,0,0,55045
Construction,0,0,50111,584,0,50695
Agriculture & Natural Resources,0,0,45382,0,0,45382
Mining & Extraction,0,0,0,300,18230,18530
Manufacturing — Electronics & Tech,0,0,0,817,15867,16684
Energy & Utilities,0,0,0,940,15574,16514
Manufacturing — Chemicals & Pharma,0,0,0,6790,8430,15220
Manufacturing — Textiles & Apparel,0,0,0,3742,3712,7454
