Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
399 - Truck transportation,2360525.55,112016.53,20697.07,2493239.14
403 - Couriers and messengers,0.0,536084.58,27686.71,563771.29
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,266817.55,9959.55,276777.1
454 - Employment services,0.0,140399.54,40035.5,180435.04
404 - Warehousing and storage,0.0,131770.66,18279.55,150050.22
429 - Other real estate,0.0,78972.8,67445.29,146418.09
391 - Retail - Gasoline stores,0.0,68391.93,14283.18,82675.11
"494 - Automotive repair and maintenance, except car washes",0.0,49766.59,26224.29,75990.89
451 - Management of companies and enterprises,0.0,45957.44,29446.89,75404.33
"426 - Insurance carriers, except direct life",0.0,37058.27,16133.26,53191.54
"427 - Insurance agencies, brokerages, and related activities",0.0,34884.34,20697.65,55581.98
508 - Postal service,0.0,34646.07,6287.54,40933.6
457 - Investigation and security services,0.0,28895.07,12429.24,41324.31
452 - Office administrative services,0.0,23426.91,8794.48,32221.4
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,22413.35,16527.84,38941.19
493 - All other food and drinking places,0.0,17785.31,44257.01,62042.32
55 - Maintenance and repair construction of nonresidential structures,0.0,16902.57,9254.79,26157.36
397 - Rail transportation,0.0,14395.71,1474.35,15870.06
516 - Other local government enterprises,0.0,14367.37,9553.11,23920.48
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,14113.28,2171.99,16285.27
458 - Services to buildings,0.0,13926.44,14311.42,28237.86
20 - Oil and gas extraction,0.0,13732.27,2796.33,16528.61
423 - Monetary authorities and depository credit intermediation,0.0,13064.76,21777.58,34842.34
422 - Securities and commodity contracts intermediation and brokerage,0.0,12475.9,32692.12,45168.02
433 - General and consumer goods rental except video tapes and discs,0.0,12099.66,2517.76,14617.41
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,11560.07,5114.12,16674.19
491 - Full-service restaurants,0.0,11204.23,85232.11,96436.34
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,10149.46,4564.39,14713.86
385 - Retail - Motor vehicle and parts dealers,0.0,10143.5,28371.36,38514.86
441 - Custom computer programming services,0.0,9980.0,5048.61,15028.6
455 - Business support services,0.0,9907.75,8712.31,18620.06
444 - Management consulting services,0.0,9430.94,12563.19,21994.13
421 - Nondepository credit intermediation and related activities,0.0,9135.55,10931.31,20066.86
394 - Retail - General merchandise stores,0.0,8622.88,47564.35,56187.23
396 - Air transportation,0.0,8341.01,6929.75,15270.75
432 - Automotive equipment rental and leasing,0.0,8265.72,3398.69,11664.41
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,8201.28,2392.42,10593.71
437 - Legal services,0.0,8200.25,18697.27,26897.52
498 - Personal and household goods repair and maintenance,0.0,7811.41,4198.23,12009.64
459 - Landscape and horticultural services,0.0,7612.7,10266.87,17879.57
382 - Wholesale - Petroleum and petroleum products,0.0,7209.03,1199.85,8408.87
"447 - Advertising, public relations, and related services",0.0,6903.79,8326.17,15229.96
496 - Electronic and precision equipment repair and maintenance,0.0,6362.95,3776.22,10139.17
442 - Computer systems design services,0.0,6148.46,5198.56,11347.03
"378 - Wholesale - Machinery, equipment, and supplies",0.0,6063.46,3250.39,9313.85
461 - Waste management and remediation services,0.0,5917.46,4517.85,10435.31
"439 - Architectural, engineering, and related services",0.0,5882.04,5198.16,11080.2
"418 - Data processing, hosting, and related services",0.0,5862.0,11478.76,17340.76
"450 - All other miscellaneous professional, scientific, and technical services",0.0,5508.27,3900.27,9408.55
239 - Machine shops,0.0,4822.59,1226.67,6049.26
379 - Wholesale - Other durable goods merchant wholesalers,0.0,4764.97,7954.03,12719.0
460 - Other support services,0.0,4694.45,4186.22,8880.67
492 - Limited-service restaurants,0.0,4302.27,84488.63,88790.9
400 - Transit and ground passenger transportation,0.0,4284.27,22103.22,26387.5
"489 - Hotels and motels, including casino hotels",0.0,4170.63,25192.86,29363.5
424 - Other financial investment activities,0.0,3926.73,42503.0,46429.72
335 - Other motor vehicle parts manufacturing,0.0,3684.9,689.04,4373.95
144 - Printing,0.0,3558.54,4005.9,7564.44
42 - Electric power transmission and distribution,0.0,3527.56,3028.35,6555.91
445 - Environmental and other technical consulting services,0.0,3234.45,3921.23,7155.68
453 - Facilities support services,0.0,3228.95,1281.83,4510.79
