Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
399 - Truck transportation,2429609.85,109815.17,20942.07,2560367.09
403 - Couriers and messengers,0.0,525549.4,28014.29,553563.7
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,261574.03,10076.03,271650.05
454 - Employment services,0.0,137640.4,40506.68,178147.08
404 - Warehousing and storage,0.0,129181.1,18496.06,147677.16
429 - Other real estate,0.0,77420.82,68237.3,145658.11
391 - Retail - Gasoline stores,0.0,67047.88,14452.66,81500.55
"494 - Automotive repair and maintenance, except car washes",0.0,48788.58,26535.36,75323.94
451 - Management of companies and enterprises,0.0,45054.28,29793.91,74848.19
"426 - Insurance carriers, except direct life",0.0,36330.0,16324.71,52654.71
"427 - Insurance agencies, brokerages, and related activities",0.0,34198.79,20942.05,55140.83
508 - Postal service,0.0,33965.2,6361.68,40326.88
457 - Investigation and security services,0.0,28327.22,12575.32,40902.54
452 - Office administrative services,0.0,22966.53,8897.72,31864.25
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,21972.88,16720.63,38693.5
493 - All other food and drinking places,0.0,17435.79,44773.25,62209.05
55 - Maintenance and repair construction of nonresidential structures,0.0,16570.4,9364.49,25934.89
397 - Rail transportation,0.0,14112.8,1491.81,15604.61
516 - Other local government enterprises,0.0,14085.02,9667.81,23752.83
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,13835.93,2197.42,16033.35
458 - Services to buildings,0.0,13652.76,14479.25,28132.0
20 - Oil and gas extraction,0.0,13462.41,2829.68,16292.09
423 - Monetary authorities and depository credit intermediation,0.0,12808.01,22037.4,34845.41
422 - Securities and commodity contracts intermediation and brokerage,0.0,12230.72,33059.97,45290.69
433 - General and consumer goods rental except video tapes and discs,0.0,11861.87,2547.33,14409.2
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,11332.89,5174.34,16507.23
491 - Full-service restaurants,0.0,10984.04,86225.07,97209.11
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,9950.01,4618.41,14568.41
385 - Retail - Motor vehicle and parts dealers,0.0,9944.16,28707.96,38652.12
441 - Custom computer programming services,0.0,9783.87,5108.26,14892.13
455 - Business support services,0.0,9713.04,8815.0,18528.03
444 - Management consulting services,0.0,9245.6,12710.04,21955.64
421 - Nondepository credit intermediation and related activities,0.0,8956.01,11059.24,20015.26
394 - Retail - General merchandise stores,0.0,8453.42,48128.75,56582.17
396 - Air transportation,0.0,8177.09,7008.45,15185.54
432 - Automotive equipment rental and leasing,0.0,8103.28,3438.11,11541.39
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,8040.11,2420.72,10460.82
437 - Legal services,0.0,8039.1,18915.99,26955.08
498 - Personal and household goods repair and maintenance,0.0,7657.9,4247.45,11905.35
