Industry,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total
Industry Display,0.0,0.0,0.0,0.0
399 - Truck transportation,517459714328.88,23857348280.78,4408073896.53,545725136506.19
431 - Owner-occupied housing,0.0,0.0,37242201295.85,37242201295.85
146 - Petroleum refineries,0.0,28258945471.56,5158246927.73,33417192399.29
429 - Other real estate,0.0,17645131093.82,15069506595.77,32714637689.59
"426 - Insurance carriers, except direct life",0.0,21248142285.67,9250347837.18,30498490122.85
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,27734732079.33,1035259851.68,28769991931.01
403 - Couriers and messengers,0.0,24130991777.08,1246273022.35,25377264799.43
451 - Management of companies and enterprises,0.0,12498520333.21,8008335485.53,20506855818.74
472 - Hospitals,0.0,0.0,19835684726.2,19835684726.2
454 - Employment services,0.0,14557952892.1,4151259586.84,18709212478.93
"427 - Insurance agencies, brokerages, and related activities",0.0,11487114705.83,6815558691.98,18302673397.81
423 - Monetary authorities and depository credit intermediation,0.0,6788015520.92,11314906652.29,18102922173.21
382 - Wholesale - Petroleum and petroleum products,0.0,13568738032.93,2258335386.97,15827073419.91
404 - Warehousing and storage,0.0,12789457999.24,1774185069.86,14563643069.1
20 - Oil and gas extraction,0.0,11884896086.59,2420147733.63,14305043820.22
465 - Offices of physicians,0.0,0.0,11115029454.1,11115029454.1
42 - Electric power transmission and distribution,0.0,5731168254.93,4920101030.3,10651269285.23
391 - Retail - Gasoline stores,0.0,8808998355.65,1839698266.7,10648696622.35
"494 - Automotive repair and maintenance, except car washes",0.0,6965988889.87,3670697961.38,10636686851.25
516 - Other local government enterprises,0.0,6190889356.72,4116427127.72,10307316484.45
492 - Limited-service restaurants,0.0,492701626.23,9675749642.89,10168451269.12
491 - Full-service restaurants,0.0,1141859766.23,8686283894.56,9828143660.78
424 - Other financial investment activities,0.0,736061952.04,7967151963.06,8703213915.09
385 - Retail - Motor vehicle and parts dealers,0.0,2272891227.87,6357275346.3,8630166574.17
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,7447624165.75,1146165693.81,8593789859.56
396 - Air transportation,0.0,4535832341.65,3768391739.47,8304224081.12
421 - Nondepository credit intermediation and related activities,0.0,3594404601.21,4300951207.92,7895355809.13
430 - Tenant-occupied housing,0.0,0.0,7824270128.59,7824270128.59
"418 - Data processing, hosting, and related services",0.0,2430725859.12,4759755273.37,7190481132.5
420 - Internet publishing and broadcasting and web search portals,0.0,2802593319.22,4302786870.09,7105380189.31
437 - Legal services,0.0,2155676509.72,4915126868.45,7070803378.16
436 - Lessors of nonfinancial intangible assets,0.0,4494434478.33,2350131168.18,6844565646.51
410 - Software publishers,0.0,885111973.43,5864624623.31,6749736596.74
397 - Rail transportation,0.0,6100409112.89,624780943.57,6725190056.46
383 - Wholesale - Other nondurable goods merchant wholesalers,0.0,1127605481.77,5393712784.12,6521318265.88
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,3512447565.39,2590116633.97,6102564199.36
422 - Securities and commodity contracts intermediation and brokerage,0.0,1624414976.5,4256651750.85,5881066727.35
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,4431787261.64,1292812270.97,5724599532.6
55 - Maintenance and repair construction of nonresidential structures,0.0,3655364753.86,2001448228.8,5656812982.67
389 - Retail - Food and beverage stores,0.0,340822851.47,5148761709.84,5489584561.31
394 - Retail - General merchandise stores,0.0,838865966.88,4627239048.74,5466105015.62
493 - All other food and drinking places,0.0,1556984007.79,3874402759.1,5431386766.89
508 - Postal service,0.0,4583355608.4,831783084.39,5415138692.79
"489 - Hotels and motels, including casino hotels",0.0,705071181.17,4259007096.55,4964078277.72
151 - Petrochemical manufacturing,0.0,3389432400.86,1199921456.54,4589353857.41
432 - Automotive equipment rental and leasing,0.0,3204231284.03,1317513749.06,4521745033.09
379 - Wholesale - Other durable goods merchant wholesalers,0.0,1663292499.57,2776490263.34,4439782762.91
416 - Wireless telecommunications carriers (except satellite),0.0,1369725721.17,2897522255.56,4267247976.73
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,501549909.02,3509884288.7,4011434197.72
415 - Wired telecommunications carriers,0.0,1115265135.96,2889147243.52,4004412379.48
"447 - Advertising, public relations, and related services",0.0,1779237702.26,2145811746.3,3925049448.57
468 - Outpatient care centers,0.0,0.0,3889926768.43,3889926768.43
444 - Management consulting services,0.0,1625319005.86,2165128171.81,3790447177.67
35 - Electric power generation - Fossil fuel,0.0,2017040745.03,1731286087.02,3748326832.04
"428 - Funds, trusts, and other financial vehicles",0.0,90164557.79,3626457201.12,3716621758.91
381 - Wholesale - Grocery and related product wholesalers,0.0,152217197.06,3342597639.5,3494814836.56
446 - Scientific research and development services,0.0,736048803.17,2615729251.19,3351778054.36
461 - Waste management and remediation services,0.0,1867684871.08,1425935453.96,3293620325.05
376 - Wholesale - Professional and commercial equipment and supplies,0.0,589188855.73,2679918662.74,3269107518.47
475 - Individual and family services,0.0,0.0,3178462866.8,3178462866.8
"378 - Wholesale - Machinery, equipment, and supplies",0.0,2066507321.7,1107777249.87,3174284571.57
473 - Nursing and community care facilities,0.0,0.0,3118810561.23,3118810561.23
452 - Office administrative services,0.0,2265390029.64,850429269.47,3115819299.12
390 - Retail - Health and personal care stores,0.0,16168071.62,3088826580.83,3104994652.45
164 - Pharmaceutical preparation manufacturing,0.0,5019954.74,3083946449.17,3088966403.91
392 - Retail - Clothing and clothing accessories stores,0.0,14304447.99,3013113005.19,3027417453.18
377 - Wholesale - Household appliances and electrical and electronic goods,0.0,1039428755.37,1973410022.86,3012838778.22
458 - Services to buildings,0.0,1482079522.63,1523049570.99,3005129093.62
498 - Personal and household goods repair and maintenance,0.0,1931458756.94,1038058389.47,2969517146.41
"463 - Junior colleges, colleges, universities, and professional schools",0.0,37212177.63,2917913239.69,2955125417.32
"450 - All other miscellaneous professional, scientific, and technical services",0.0,1696121539.0,1200982349.09,2897103888.09
433 - General and consumer goods rental except video tapes and discs,0.0,2381941336.26,495646516.41,2877587852.67
401 - Pipeline transportation,0.0,2293793584.92,523849293.86,2817642878.78
466 - Offices of dentists,0.0,601.02,2811095530.35,2811096131.37
467 - Offices of other health practitioners,0.0,0.0,2668424728.99,2668424728.99
457 - Investigation and security services,0.0,1850251899.59,795887718.37,2646139617.96
503 - Religious organizations,0.0,0.0,2595092429.97,2595092429.97
43 - Natural gas distribution,0.0,1352106134.43,1219703386.54,2571809520.97
441 - Custom computer programming services,0.0,1684426603.07,852104991.68,2536531594.75
335 - Other motor vehicle parts manufacturing,0.0,2128198900.1,397952694.61,2526151594.71
442 - Computer systems design services,0.0,1321107154.66,1117004770.75,2438111925.41
459 - Landscape and horticultural services,0.0,1035397159.04,1396388777.22,2431785936.26
464 - Other educational services,0.0,47086358.04,2311988478.8,2359074836.84
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,1630560469.41,721352057.14,2351912526.55
400 - Transit and ground passenger transportation,0.0,380352895.11,1962298244.01,2342651139.12
388 - Retail - Building material and garden equipment and supplies stores,0.0,420647081.99,1883419660.96,2304066742.96
470 - Home health care services,0.0,0.0,2284236497.41,2284236497.41
330 - Motor vehicle gasoline engine and engine parts manufacturing,0.0,2052747911.59,209716378.39,2262464289.98
"439 - Architectural, engineering, and related services",0.0,1179654489.21,1042500652.1,2222155141.32
413 - Radio and television broadcasting,0.0,801759050.93,1263647572.72,2065406623.65
395 - Retail - Miscellaneous store retailers,0.0,44287383.37,1931009841.22,1975297224.59
414 - Cable and other subscription programming,0.0,685406207.29,1282291107.33,1967697314.62
185 - Other plastics product manufacturing,0.0,1092535144.25,872790242.83,1965325387.08
502 - Other personal services,0.0,54179468.48,1910042624.45,1964222092.92
411 - Motion picture and video industries,0.0,317360996.82,1635642561.43,1953003558.25
425 - Direct life insurance carriers,0.0,21669284.34,1908059898.79,1929729183.13
296 - Semiconductor and related device manufacturing,0.0,681497887.86,1209966310.34,1891464198.19
455 - Business support services,0.0,979013288.35,860888909.79,1839902198.14
"504 - Grantmaking, giving, and social advocacy organizations",0.0,767150.45,1836880420.76,1837647571.22
155 - Other basic organic chemical manufacturing,0.0,1008661039.08,746906162.23,1755567201.31
482 - Promoters of performing arts and sports and agents for public figures,0.0,276830901.53,1468765655.95,1745596557.48
496 - Electronic and precision equipment repair and maintenance,0.0,1078431315.97,640017023.97,1718448339.94
144 - Printing,0.0,785719207.9,884496048.45,1670215256.35
460 - Other support services,0.0,878980992.02,783820083.96,1662801075.98
456 - Travel arrangement and reservation services,0.0,458023965.6,1146380367.34,1604404332.94
56 - Maintenance and repair construction of residential structures,0.0,119578417.73,1473576833.13,1593155250.86
499 - Personal care services,0.0,0.0,1537975955.14,1537975955.14
485 - Gambling industries (except casino hotels),0.0,1724477.02,1495939074.15,1497663551.17
515 - Local government electric utilities,0.0,798041067.46,684161070.2,1482202137.66
139 - Paperboard container manufacturing,0.0,607812181.75,834931990.43,1442744172.18
386 - Retail - Furniture and home furnishings stores,0.0,35654458.97,1390386399.8,1426040858.78
476 - Child day care services,0.0,0.0,1417828154.28,1417828154.28
445 - Environmental and other technical consulting services,0.0,633607087.78,768143969.43,1401751057.21
"84 - Animal, except poultry, slaughtering",0.0,24364332.22,1359993007.43,1384357339.65
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,947340711.36,426035642.78,1373376354.14
83 - Poultry processing,0.0,22949879.39,1344329137.32,1367279016.71
505 - Business and professional associations,0.0,370138255.89,996911949.41,1367050205.3
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,20073144.63,1344476553.92,1364549698.55
239 - Machine shops,0.0,1043197535.65,265346942.32,1308544477.97
"481 - Independent artists, writers, and performers",0.0,441889905.12,832059251.8,1273949156.93
324 - Automobile and light duty motor vehicle manufacturing,0.0,113396521.93,1125075039.88,1238471561.8
506 - Labor and civic organizations,0.0,18801.3,1232525373.46,1232544174.76
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,1213782452.52,1213782452.52
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,1210772008.49,1210772008.49
462 - Elementary and secondary schools,0.0,0.0,1201131165.83,1201131165.83
469 - Medical and diagnostic laboratories,0.0,107035.0,1187677556.24,1187784591.24
486 - Other amusement and recreation industries,0.0,29985583.38,1152908351.56,1182893934.95
36 - Electric power generation - Nuclear,0.0,612531415.8,525753939.61,1138285355.41
"336 - Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",0.0,1008090151.39,130065253.22,1138155404.61
99 - Bottled and canned soft drinks and water,0.0,11033791.75,1117254496.1,1128288287.85
85 - Meat processed from carcasses,0.0,2386232.37,1111518840.71,1113905073.08
207 - Iron and steel mills and ferroalloy manufacturing,0.0,703449595.78,404132711.69,1107582307.47
"88 - Bread and bakery product, except frozen, manufacturing",0.0,15097749.56,1028396639.92,1043494389.48
440 - Specialized design services,0.0,425245633.4,600158848.39,1025404481.79
77 - Cheese manufacturing,0.0,28174510.67,996113172.6,1024287683.27
479 - Commercial Sports Except Racing,0.0,158192719.25,865614506.89,1023807226.14
13 - Poultry and egg production,0.0,14340230.09,976480204.92,990820435.01
156 - Plastics material and resin manufacturing,0.0,460000315.77,516831519.19,976831834.95
449 - Veterinary services,0.0,907920.25,974431074.16,975338994.41
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,24892732.51,921176171.16,946068903.66
2 - Grain farming,0.0,89305124.2,852798304.0,942103428.2
64 - Soybean and other oilseed processing,0.0,80408243.95,859893446.17,940301690.12
398 - Water transportation,0.0,138318688.11,794251124.77,932569812.89
"443 - Other computer related services, including facilities management",0.0,451424456.8,453928379.59,905352836.39
273 - Other engine equipment manufacturing,0.0,767835037.88,103463486.52,871298524.39
"417 - Satellite, telecommunications resellers, and all other telecommunications",0.0,334191953.98,529227530.28,863419484.26
242 - Metal coating and nonprecious engraving,0.0,728965618.44,124875977.48,853841595.92
471 - Other ambulatory health care services,0.0,1199737.06,836183996.62,837383733.69
59 - Other animal food manufacturing,0.0,19857873.15,779300358.33,799158231.48
513 - Other state government enterprises,0.0,464444053.55,307866507.84,772310561.4
332 - Motor vehicle transmission and power train parts manufacturing,0.0,515524218.85,233869077.82,749393296.67
98 - All other food manufacturing,0.0,4972792.57,734725727.91,739698520.47
38 - Electric power generation - Wind,0.0,396215026.4,340083146.25,736298172.65
79 - Fluid milk manufacturing,0.0,10398104.63,711577747.7,721975852.33
12 - Dairy cattle and milk production,0.0,14909538.76,683629304.62,698538843.38
478 - Performing arts companies,0.0,59263551.66,629516166.75,688779718.41
453 - Facilities support services,0.0,483886666.82,192093894.28,675980561.1
487 - Fitness and recreational sports centers,0.0,12887386.43,642143354.39,655030740.82
387 - Retail - Electronics and appliance stores,0.0,13017696.5,615070170.76,628087867.26
104 - Tobacco manufacturing,0.0,30072.64,613021631.18,613051703.82
58 - Dog and cat food manufacturing,0.0,145422.08,589220050.11,589365472.18
137 - Paper mills,0.0,158043913.82,428570376.13,586614289.95
172 - Toilet preparation manufacturing,0.0,4564923.79,569523608.5,574088532.29
93 - Other snack food manufacturing,0.0,8550326.18,548116838.89,556667165.08
132 - Wood container and pallet manufacturing,0.0,432674253.01,121102805.38,553777058.38
495 - Car washes,0.0,34434595.29,511040192.19,545474787.48
501 - Dry-cleaning and laundry services,0.0,119395148.58,421466206.09,540861354.67
21 - Coal mining,0.0,281087804.48,249006560.18,530094364.66
101 - Breweries,0.0,12174176.26,514275625.19,526449801.46
138 - Paperboard mills,0.0,262195750.8,263671215.69,525866966.49
178 - Plastics packaging materials and unlaminated film and sheet manufacturing,0.0,200810634.29,320253717.52,521064351.81
407 - Book publishers,0.0,75327185.82,443092445.72,518419631.54
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,332993889.93,180332482.99,513326372.92
169 - Soap and other detergent manufacturing,0.0,91283682.72,406809897.4,498093580.12
63 - Wet corn milling,0.0,61657644.28,435351558.44,497009202.71
152 - Industrial gas manufacturing,0.0,244516511.85,248450035.65,492966547.51
