Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
Industry Display,0.0,0.0,0.0,0.0
399 - Truck transportation,517459714328.88,23388501637.02,4460255772.72,545308471738.62
431 - Owner-occupied housing,0.0,0.0,37675499551.03,37675499551.03
146 - Petroleum refineries,0.0,27703598264.29,5219743440.74,32923341705.03
429 - Other real estate,0.0,17298367472.19,15246466588.67,32544834060.86
"426 - Insurance carriers, except direct life",0.0,20830571980.73,9360117135.74,30190689116.46
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,27189686758.36,1047366881.78,28237053640.14
403 - Couriers and messengers,0.0,23656767467.99,1261018662.22,24917786130.2
451 - Management of companies and enterprises,0.0,12252898345.33,8102710482.95,20355608828.28
472 - Hospitals,0.0,0.0,20069814972.87,20069814972.87
454 - Employment services,0.0,14271858759.87,4200116080.53,18471974840.4
"427 - Insurance agencies, brokerages, and related activities",0.0,11261368947.63,6896037884.34,18157406831.96
423 - Monetary authorities and depository credit intermediation,0.0,6654616860.8,11449899178.67,18104516039.47
382 - Wholesale - Petroleum and petroleum products,0.0,13302084035.52,2285156296.66,15587240332.17
404 - Warehousing and storage,0.0,12538118479.53,1795199615.01,14333318094.54
20 - Oil and gas extraction,0.0,11651333094.76,2449007342.95,14100340437.71
465 - Offices of physicians,0.0,0.0,11246330962.72,11246330962.72
42 - Electric power transmission and distribution,0.0,5618538847.44,4978903798.35,10597442645.79
"494 - Automotive repair and maintenance, except car washes",0.0,6829092681.91,3714239451.5,10543332133.41
391 - Retail - Gasoline stores,0.0,8635883168.44,1861527959.57,10497411128.01
492 - Limited-service restaurants,0.0,483019011.84,9791099022.88,10274118034.72
516 - Other local government enterprises,0.0,6069225470.92,4165852410.09,10235077881.02
491 - Full-service restaurants,0.0,1119419840.68,8787479792.49,9906899633.17
424 - Other financial investment activities,0.0,721596799.76,8055512494.8,8777109294.56
385 - Retail - Motor vehicle and parts dealers,0.0,2228224175.55,6432699265.46,8660923441.01
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,7301262820.26,1159586522.76,8460849343.02
396 - Air transportation,0.0,4446693777.51,3811191833.4,8257885610.91
430 - Tenant-occupied housing,0.0,0.0,7919460524.76,7919460524.76
421 - Nondepository credit intermediation and related activities,0.0,3523767055.33,4351288255.64,7875055310.98
"418 - Data processing, hosting, and related services",0.0,2382957027.17,4815876695.18,7198833722.34
420 - Internet publishing and broadcasting and web search portals,0.0,2747516516.21,4353434851.93,7100951368.14
437 - Legal services,0.0,2113312971.04,4972623370.66,7085936341.69
410 - Software publishers,0.0,867717677.42,5933794782.07,6801512459.49
436 - Lessors of nonfinancial intangible assets,0.0,4406109468.53,2377743150.06,6783852618.59
397 - Rail transportation,0.0,5980523352.55,632177988.16,6612701340.71
383 - Wholesale - Other nondurable goods merchant wholesalers,0.0,1105445682.64,5457910528.53,6563356211.17
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,3443420646.17,2620328095.78,6063748741.95
422 - Securities and commodity contracts intermediation and brokerage,0.0,1592491834.8,4304547139.21,5897038974.01
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,4344693400.28,1308099678.09,5652793078.37
55 - Maintenance and repair construction of nonresidential structures,0.0,3583529213.87,2025172243.15,5608701457.02
389 - Retail - Food and beverage stores,0.0,334124971.72,5209861304.54,5543986276.26
394 - Retail - General merchandise stores,0.0,822380501.33,4682145683.56,5504526184.89
493 - All other food and drinking places,0.0,1526386025.23,3919596632.77,5445982658.01
508 - Postal service,0.0,4493283112.96,841591590.12,5334874703.08
"489 - Hotels and motels, including casino hotels",0.0,691215062.17,4307420321.41,4998635383.58
151 - Petrochemical manufacturing,0.0,3322822986.16,1214189286.34,4537012272.49
432 - Automotive equipment rental and leasing,0.0,3141261457.47,1332793622.33,4474055079.8
379 - Wholesale - Other durable goods merchant wholesalers,0.0,1630605333.46,2809426167.05,4440031500.52
416 - Wireless telecommunications carriers (except satellite),0.0,1342807754.44,2932313423.57,4275121178.0
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,491693407.42,3551720374.2,4043413781.62
415 - Wired telecommunications carriers,0.0,1093347850.36,2923890085.34,4017237935.71
468 - Outpatient care centers,0.0,0.0,3935614357.13,3935614357.13
"447 - Advertising, public relations, and related services",0.0,1744271971.15,2171113672.29,3915385643.44
444 - Management consulting services,0.0,1593378098.1,2190436041.7,3783814139.8
"428 - Funds, trusts, and other financial vehicles",0.0,88392636.21,3669083921.23,3757476557.44
35 - Electric power generation - Fossil fuel,0.0,1977401688.23,1751977823.34,3729379511.56
381 - Wholesale - Grocery and related product wholesalers,0.0,149225811.71,3382401043.3,3531626855.01
446 - Scientific research and development services,0.0,721583909.3,2645982848.53,3367566757.82
