Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment
399 - Truck transportation,2429609.85,109815.17,20942.07,2560367.09,2360525.55,112016.53,20697.07,2493239.14,-67127.94999999972,-2.6218095937172716
472 - Hospitals,0.0,0.0,87951.66,87951.66,0.0,0.0,86925.63,86925.63,-1026.0299999999988,-1.1665840076241867
492 - Limited-service restaurants,0.0,4217.72,85495.86,89713.58,0.0,4302.27,84488.63,88790.9,-922.6800000000076,-1.0284730583708817
491 - Full-service restaurants,0.0,10984.04,86225.07,97209.11,0.0,11204.23,85232.11,96436.34,-772.7700000000041,-0.7949563574854293
465 - Offices of physicians,0.0,0.0,61645.49,61645.49,0.0,0.0,60925.78,60925.78,-719.7099999999991,-1.1674982224977029
475 - Individual and family services,0.0,0.0,61012.41,61012.41,0.0,0.0,60323.15,60323.15,-689.260000000002,-1.1297045961633083
503 - Religious organizations,0.0,0.0,46722.35,46722.35,0.0,0.0,46193.05,46193.05,-529.2999999999956,-1.1328625379502437
389 - Retail - Food and beverage stores,0.0,3063.75,47771.64,50835.38,0.0,3125.16,47211.39,50336.55,-498.82999999999447,-0.9812654100352834
394 - Retail - General merchandise stores,0.0,8453.42,48128.75,56582.17,0.0,8622.88,47564.35,56187.23,-394.93999999999505,-0.6979937319477055
424 - Other financial investment activities,0.0,3849.56,42974.38,46823.94,0.0,3926.73,42503.0,46429.72,-394.22000000000116,-0.8419197530152335
473 - Nursing and community care facilities,0.0,0.0,32231.04,32231.04,0.0,0.0,31838.39,31838.39,-392.65000000000146,-1.2182355890470846
499 - Personal care services,0.0,0.0,33270.91,33270.91,0.0,0.0,32884.22,32884.22,-386.6900000000023,-1.1622465390937677
470 - Home health care services,0.0,0.0,30681.11,30681.11,0.0,0.0,30322.78,30322.78,-358.33000000000175,-1.1679173276325456
395 - Retail - Miscellaneous store retailers,0.0,649.4,29225.46,29874.86,0.0,662.42,28882.79,29545.22,-329.6399999999994,-1.1034026602969835
390 - Retail - Health and personal care stores,0.0,118.8,23426.34,23545.15,0.0,121.18,23151.6,23272.78,-272.3700000000026,-1.1567987462386207
392 - Retail - Clothing and clothing accessories stores,0.0,103.2,22437.36,22540.56,0.0,105.27,22174.21,22279.48,-261.08000000000175,-1.1582675851886632
430 - Tenant-occupied housing,0.0,0.0,21505.54,21505.54,0.0,0.0,21247.05,21247.05,-258.4900000000016,-1.201969353013231
468 - Outpatient care centers,0.0,0.0,21497.11,21497.11,0.0,0.0,21247.55,21247.55,-249.5600000000013,-1.160900232635928
"463 - Junior colleges, colleges, universities, and professional schools",0.0,281.59,22774.09,23055.68,0.0,287.23,22522.54,22809.77,-245.90999999999985,-1.066591833335646
467 - Offices of other health practitioners,0.0,0.0,20926.3,20926.3,0.0,0.0,20685.03,20685.03,-241.27000000000044,-1.1529510711401463
502 - Other personal services,0.0,583.19,21218.44,21801.63,0.0,594.88,20971.79,21566.67,-234.96000000000276,-1.0777175835017967
476 - Child day care services,0.0,0.0,20287.05,20287.05,0.0,0.0,20056.07,20056.07,-230.97999999999956,-1.1385588343302726
466 - Offices of dentists,0.0,0.0,18917.59,18917.59,0.0,0.0,18694.73,18694.74,-222.84999999999854,-1.1780041749503956
462 - Elementary and secondary schools,0.0,0.0,19533.85,19533.85,0.0,0.0,19316.44,19316.44,-217.40999999999985,-1.1129910386329367
464 - Other educational services,0.0,378.03,19149.16,19527.19,0.0,385.6,18933.52,19319.12,-208.0699999999997,-1.065539895909241
"489 - Hotels and motels, including casino hotels",0.0,4088.67,25479.24,29567.91,0.0,4170.63,25192.86,29363.5,-204.40999999999985,-0.6913238034071392
"428 - Funds, trusts, and other financial vehicles",0.0,413.16,17149.65,17562.81,0.0,421.44,16950.41,17371.85,-190.96000000000276,-1.087297533822906
400 - Transit and ground passenger transportation,0.0,4200.08,22363.42,26563.5,0.0,4284.27,22103.22,26387.5,-176.0,-0.6625632917348994
493 - All other food and drinking places,0.0,17435.79,44773.25,62209.05,0.0,17785.31,44257.01,62042.32,-166.7300000000032,-0.26801566653083947
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,12384.72,12384.72,0.0,0.0,12234.49,12234.49,-150.22999999999956,-1.2130270203928677
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,347.13,13258.65,13605.77,0.0,354.08,13103.19,13457.27,-148.5,-1.0914487015435363
486 - Other amusement and recreation industries,0.0,325.15,12896.89,13222.04,0.0,331.67,12752.28,13083.94,-138.10000000000036,-1.044468175863939
385 - Retail - Motor vehicle and parts dealers,0.0,9944.16,28707.96,38652.12,0.0,10143.5,28371.36,38514.86,-137.26000000000204,-0.3551163558428413
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,11994.35,11994.35,0.0,0.0,11858.81,11858.81,-135.54000000000087,-1.1300320567600652
381 - Wholesale - Grocery and related product wholesalers,0.0,516.47,11706.38,12222.85,0.0,526.82,11568.63,12095.45,-127.39999999999964,-1.0423100995267032
422 - Securities and commodity contracts intermediation and brokerage,0.0,12230.72,33059.97,45290.69,0.0,12475.9,32692.12,45168.02,-122.67000000000553,-0.27085036681932984
507 - Private households,0.0,0.0,10314.55,10314.55,0.0,0.0,10200.08,10200.08,-114.46999999999935,-1.1097915081123206
487 - Fitness and recreational sports centers,0.0,202.21,10394.09,10596.3,0.0,206.26,10277.56,10483.82,-112.47999999999956,-1.0615025999641343
506 - Labor and civic organizations,0.0,0.14,9271.63,9271.77,0.0,0.14,9164.56,9164.7,-107.06999999999971,-1.154795686260549
386 - Retail - Furniture and home furnishings stores,0.0,223.45,8993.98,9217.43,0.0,227.93,8888.52,9116.46,-100.97000000000116,-1.0954246465663549
479 - Commercial Sports Except Racing,0.0,2183.43,12328.88,14512.3,0.0,2227.2,12186.99,14414.18,-98.11999999999898,-0.6761161221860008
383 - Wholesale - Other nondurable goods merchant wholesalers,0.0,2578.02,12728.43,15306.45,0.0,2629.7,12578.72,15208.42,-98.03000000000065,-0.6404489610589043
387 - Retail - Electronics and appliance stores,0.0,173.45,8458.82,8632.27,0.0,176.93,8359.64,8536.56,-95.71000000000095,-1.108746598519288
388 - Retail - Building material and garden equipment and supplies stores,0.0,2758.46,12747.55,15506.01,0.0,2813.76,12598.43,15412.19,-93.81999999999971,-0.6050557171058171
56 - Maintenance and repair construction of residential structures,0.0,732.81,9319.04,10051.85,0.0,747.5,9211.56,9959.06,-92.79000000000087,-0.9231136556952289
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,111.08,7680.42,7791.5,0.0,113.31,7589.26,7702.57,-88.93000000000029,-1.141372007957393
"504 - Grantmaking, giving, and social advocacy organizations",0.0,3.18,7846.05,7849.23,0.0,3.24,7757.2,7760.44,-88.78999999999996,-1.1311937604070712
449 - Veterinary services,0.0,6.66,7381.96,7388.62,0.0,6.8,7294.59,7301.39,-87.22999999999956,-1.1805993541419042
410 - Software publishers,0.0,1400.89,9579.86,10980.76,0.0,1428.98,9468.19,10897.17,-83.59000000000015,-0.7612405698694821
485 - Gambling industries (except casino hotels),0.0,7.67,6873.21,6880.88,0.0,7.83,6789.71,6797.54,-83.34000000000015,-1.211182290637246
471 - Other ambulatory health care services,0.0,9.52,6850.59,6860.11,0.0,9.72,6771.14,6780.86,-79.25,-1.1552292893262646
469 - Medical and diagnostic laboratories,0.0,0.55,6251.61,6252.16,0.0,0.56,6179.81,6180.36,-71.80000000000018,-1.1484031118845355
500 - Death care services,0.0,0.0,5724.02,5724.02,0.0,0.0,5654.79,5654.79,-69.23000000000047,-1.20946467692287
