Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
431 - Owner-occupied housing,0.0,0.0,37675499551.03,37675499551.03,0.0,0.0,37242201295.85,37242201295.85,-433298255.1800003,-1.1500796547982453
472 - Hospitals,0.0,0.0,20069814972.87,20069814972.87,0.0,0.0,19835684726.2,19835684726.2,-234130246.66999817,-1.1665789992906814
465 - Offices of physicians,0.0,0.0,11246330962.72,11246330962.72,0.0,0.0,11115029454.1,11115029454.1,-131301508.61999893,-1.1675052873265506
492 - Limited-service restaurants,0.0,483019011.84,9791099022.88,10274118034.72,0.0,492701626.23,9675749642.89,10168451269.12,-105666765.59999847,-1.02847529338199
430 - Tenant-occupied housing,0.0,0.0,7919460524.76,7919460524.76,0.0,0.0,7824270128.59,7824270128.59,-95190396.17000008,-1.2019808151374658
491 - Full-service restaurants,0.0,1119419840.68,8787479792.49,9906899633.17,0.0,1141859766.23,8686283894.56,9828143660.78,-78755972.38999939,-0.7949608384676765
424 - Other financial investment activities,0.0,721596799.76,8055512494.8,8777109294.56,0.0,736061952.04,7967151963.06,8703213915.09,-73895379.46999931,-0.841910212007947
389 - Retail - Food and beverage stores,0.0,334124971.72,5209861304.54,5543986276.26,0.0,340822851.47,5148761709.84,5489584561.31,-54401714.94999981,-0.9812743437507112
410 - Software publishers,0.0,867717677.42,5933794782.07,6801512459.49,0.0,885111973.43,5864624623.31,6749736596.74,-51775862.75,-0.7612404308362074
468 - Outpatient care centers,0.0,0.0,3935614357.13,3935614357.13,0.0,0.0,3889926768.43,3889926768.43,-45687588.700000286,-1.1608756487339733
383 - Wholesale - Other nondurable goods merchant wholesalers,0.0,1105445682.64,5457910528.53,6563356211.17,0.0,1127605481.77,5393712784.12,6521318265.88,-42037945.28999996,-0.6404946484308852
"428 - Funds, trusts, and other financial vehicles",0.0,88392636.21,3669083921.23,3757476557.44,0.0,90164557.79,3626457201.12,3716621758.91,-40854798.53000021,-1.0872935041765084
473 - Nursing and community care facilities,0.0,0.0,3157273949.49,3157273949.49,0.0,0.0,3118810561.23,3118810561.23,-38463388.25999975,-1.2182467810945836
394 - Retail - General merchandise stores,0.0,822380501.33,4682145683.56,5504526184.89,0.0,838865966.88,4627239048.74,5466105015.62,-38421169.27000046,-0.6979923063217883
164 - Pharmaceutical preparation manufacturing,0.0,4921302.16,3121241561.32,3126162863.48,0.0,5019954.74,3083946449.17,3088966403.91,-37196459.57000017,-1.189843945897099
381 - Wholesale - Grocery and related product wholesalers,0.0,149225811.71,3382401043.3,3531626855.01,0.0,152217197.06,3342597639.5,3494814836.56,-36812018.450000286,-1.0423529993769982
390 - Retail - Health and personal care stores,0.0,15850335.29,3125482342.1,3141332677.39,0.0,16168071.62,3088826580.83,3104994652.45,-36338024.94000006,-1.1567709845425151
475 - Individual and family services,0.0,0.0,3214780186.9,3214780186.9,0.0,0.0,3178462866.8,3178462866.8,-36317320.099999905,-1.1296983926923025
392 - Retail - Clothing and clothing accessories stores,0.0,14023335.76,3048870585.18,3062893920.94,0.0,14304447.99,3013113005.19,3027417453.18,-35476467.76000023,-1.1582662891933433
"489 - Hotels and motels, including casino hotels",0.0,691215062.17,4307420321.41,4998635383.58,0.0,705071181.17,4259007096.55,4964078277.72,-34557105.85999966,-0.6913307974715694
466 - Offices of dentists,0.0,589.21,2844606054.91,2844606644.11,0.0,601.02,2811095530.35,2811096131.37,-33510512.740000248,-1.1780367879469948
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,491693407.42,3551720374.2,4043413781.62,0.0,501549909.02,3509884288.7,4011434197.72,-31979583.900000095,-0.7909055473216353
"463 - Junior colleges, colleges, universities, and professional schools",0.0,36480880.75,2950503324.31,2986984205.06,0.0,37212177.63,2917913239.69,2955125417.32,-31858787.73999977,-1.066587084258111
467 - Offices of other health practitioners,0.0,0.0,2699549740.89,2699549740.89,0.0,0.0,2668424728.99,2668424728.99,-31125011.900000095,-1.1529704909137426
385 - Retail - Motor vehicle and parts dealers,0.0,2228224175.55,6432699265.46,8660923441.01,0.0,2272891227.87,6357275346.3,8630166574.17,-30756866.840000153,-0.35512225745310844
503 - Religious organizations,0.0,0.0,2624827934.09,2624827934.09,0.0,0.0,2595092429.97,2595092429.97,-29735504.120000362,-1.1328553667769976
470 - Home health care services,0.0,0.0,2311229435.01,2311229435.01,0.0,0.0,2284236497.41,2284236497.41,-26992937.60000038,-1.167903851998302
464 - Other educational services,0.0,46161012.92,2338321297.81,2384482310.72,0.0,47086358.04,2311988478.8,2359074836.84,-25407473.879999638,-1.0655341734251655
395 - Retail - Miscellaneous store retailers,0.0,43417043.94,1953919201.26,1997336245.19,0.0,44287383.37,1931009841.22,1975297224.59,-22039020.600000143,-1.1034206510333286
425 - Direct life insurance carriers,0.0,21243437.72,1929918971.58,1951162409.3,0.0,21669284.34,1908059898.79,1929729183.13,-21433226.169999838,-1.098484988632455
502 - Other personal services,0.0,53114728.94,1932507196.83,1985621925.77,0.0,54179468.48,1910042624.45,1964222092.92,-21399832.849999905,-1.0777395521406377
"504 - Grantmaking, giving, and social advocacy organizations",0.0,752074.35,1857919699.95,1858671774.3,0.0,767150.45,1836880420.76,1837647571.22,-21024203.079999924,-1.131141246706558
376 - Wholesale - Professional and commercial equipment and supplies,0.0,577610066.07,2711706644.92,3289316710.99,0.0,589188855.73,2679918662.74,3269107518.47,-20209192.51999998,-0.6143887711535546
485 - Gambling industries (except casino hotels),0.0,1690587.45,1514334124.92,1516024712.37,0.0,1724477.02,1495939074.15,1497663551.17,-18361161.19999981,-1.21113864768707
499 - Personal care services,0.0,0.0,1556061009.73,1556061009.73,0.0,0.0,1537975955.14,1537975955.14,-18085054.589999914,-1.1622330022354292
476 - Child day care services,0.0,0.0,1434156718.13,1434156718.13,0.0,0.0,1417828154.28,1417828154.28,-16328563.850000143,-1.1385480849882983
422 - Securities and commodity contracts intermediation and brokerage,0.0,1592491834.8,4304547139.21,5897038974.01,0.0,1624414976.5,4256651750.85,5881066727.35,-15972246.659999847,-0.2708519772447541
"84 - Animal, except poultry, slaughtering",0.0,23885522.28,1376305919.25,1400191441.53,0.0,24364332.22,1359993007.43,1384357339.65,-15834101.879999876,-1.1308526398860024
386 - Retail - Furniture and home furnishings stores,0.0,34953774.5,1406881890.65,1441835665.15,0.0,35654458.97,1390386399.8,1426040858.78,-15794806.370000124,-1.0954650902158758
446 - Scientific research and development services,0.0,721583909.3,2645982848.53,3367566757.82,0.0,736048803.17,2615729251.19,3351778054.36,-15788703.460000038,-0.4688460421263001
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,19678665.48,1360626111.4,1380304776.88,0.0,20073144.63,1344476553.92,1364549698.55,-15755078.330000162,-1.1414202568806922
83 - Poultry processing,0.0,22498866.41,1360424202.76,1382923069.17,0.0,22949879.39,1344329137.32,1367279016.71,-15644052.460000038,-1.1312308550459897
400 - Transit and ground passenger transportation,0.0,372878167.57,1985398679.1,2358276846.67,0.0,380352895.11,1962298244.01,2342651139.12,-15625707.55000019,-0.6625900420497466
437 - Legal services,0.0,2113312971.04,4972623370.66,7085936341.69,0.0,2155676509.72,4915126868.45,7070803378.16,-15132963.529999733,-0.21356335705367785
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,1225638724.08,1225638724.08,0.0,0.0,1210772008.49,1210772008.49,-14866715.589999914,-1.2129769807297255
56 - Maintenance and repair construction of residential structures,0.0,117228452.47,1490770678.06,1607999130.52,0.0,119578417.73,1473576833.13,1593155250.86,-14843879.660000086,-0.9231273436820718
493 - All other food and drinking places,0.0,1526386025.23,3919596632.77,5445982658.01,0.0,1556984007.79,3874402759.1,5431386766.89,-14595891.119999886,-0.26801207489216144
506 - Labor and civic organizations,0.0,18431.81,1246924702.0,1246943133.81,0.0,18801.3,1232525373.46,1232544174.76,-14398959.049999952,-1.1547406340820319
388 - Retail - Building material and garden equipment and supplies stores,0.0,412380489.65,1905713208.75,2318093698.4,0.0,420647081.99,1883419660.96,2304066742.96,-14026955.440000057,-0.60510735392973
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,1227655378.59,1227655378.59,0.0,0.0,1213782452.52,1213782452.52,-13872926.069999933,-1.1300342353351165
469 - Medical and diagnostic laboratories,0.0,104931.54,1201477327.32,1201582258.85,0.0,107035.0,1187677556.24,1187784591.24,-13797667.609999895,-1.148291555436683
462 - Elementary and secondary schools,0.0,0.0,1214649745.1,1214649745.1,0.0,0.0,1201131165.83,1201131165.83,-13518579.26999998,-1.1129611087093276
85 - Meat processed from carcasses,0.0,2339337.93,1124950187.03,1127289524.96,0.0,2386232.37,1111518840.71,1113905073.08,-13384451.880000114,-1.1873127163560788
99 - Bottled and canned soft drinks and water,0.0,10816954.73,1130728560.52,1141545515.26,0.0,11033791.75,1117254496.1,1128288287.85,-13257227.410000086,-1.1613402385432352
411 - Motion picture and video industries,0.0,311124191.43,1654922369.63,1966046561.06,0.0,317360996.82,1635642561.43,1953003558.25,-13043002.809999943,-0.6634127120045299
415 - Wired telecommunications carriers,0.0,1093347850.36,2923890085.34,4017237935.71,0.0,1115265135.96,2889147243.52,4004412379.48,-12825556.23000002,-0.31926304678125195
486 - Other amusement and recreation industries,0.0,29396304.14,1165982411.56,1195378715.71,0.0,29985583.38,1152908351.56,1182893934.95,-12484780.75999999,-1.044420533503025
"88 - Bread and bakery product, except frozen, manufacturing",0.0,14801047.29,1040710107.83,1055511155.13,0.0,15097749.56,1028396639.92,1043494389.48,-12016765.649999976,-1.138478318452253
449 - Veterinary services,0.0,890077.72,986101041.75,986991119.47,0.0,907920.25,974431074.16,975338994.41,-11652125.060000062,-1.1805704053605959
482 - Promoters of performing arts and sports and agents for public figures,0.0,271390597.03,1485747424.68,1757138021.71,0.0,276830901.53,1468765655.95,1745596557.48,-11541464.23000002,-0.6568331051631432
13 - Poultry and egg production,0.0,14058414.66,988181354.37,1002239769.03,0.0,14340230.09,976480204.92,990820435.01,-11419334.01999998,-1.139381450713334
77 - Cheese manufacturing,0.0,27620822.78,1008010051.51,1035630874.29,0.0,28174510.67,996113172.6,1024287683.27,-11343191.01999998,-1.0952928598016702
324 - Automobile and light duty motor vehicle manufacturing,0.0,111168043.81,1138149953.55,1249317997.36,0.0,113396521.93,1125075039.88,1238471561.8,-10846435.559999943,-0.8681885302957391
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,24403538.4,932105226.75,956508765.16,0.0,24892732.51,921176171.16,946068903.66,-10439861.5,-1.0914548700715432
